Id,Label,Weight 
世界,世界,661
活着,活着,969
饭饭,饭饭,659
喜欢,喜欢,729
希望,希望,794
好好,好好,414
告诉,告诉,232
开心,开心,654
痛苦,痛苦,645
朋友,朋友,411
不想,不想,1168
评论,评论,211
有人,有人,302
越来越,越来越,251
说话,说话,251
晚上,晚上,214
东西,东西,228
抑郁,抑郁,288
我要,我要,267
自杀,自杀,338
快乐,快乐,272
发现,发现,196
抑郁症,抑郁症,357
难受,难受,520
讨厌,讨厌,347
明天,明天,278
努力,努力,361
生活,生活,590
人生,人生,212
我会,我会,242
对不起,对不起,333
走饭,走饭,479
地方,地方,201
情绪,情绪,202
感觉,感觉,693
特别,特别,350
绝望,绝望,260
想要,想要,269
好像,好像,394
妈妈,妈妈,229
难过,难过,662
不好,不好,355
不到,不到,267
睡觉,睡觉,223
害怕,害怕,439
离开,离开,319
伤心,伤心,283
事情,事情,314
睡不着,睡不着,233
晚安,晚安,303
